Strategy,Cumulative Return,Annual Return,Annual Volatility,Sharpe Ratio,Sortino Ratio,Maximum Drawdown,Calmar Ratio,VaR 95%,CVaR 95%,Beta vs NIFTY 50,Tracking Error,Information Ratio
Equal Weight Portfolio,1.2332092296021906,0.17798822275479553,0.13682767370018242,0.8623125685329709,1.159305686750984,-0.16673721426734545,1.0674774886751452,0.014131788871301993,0.020159323326781723,0.9449117183870821,0.04382368576854596,1.4018364641050358
One Random Portfolio,1.2173350709475956,0.17627617191155398,0.13910434775206057,0.835891715755747,1.1285731525194145,-0.17174917946165813,1.0263581605692997,0.01444466560779114,0.020500486495407904,0.9520599563793449,0.04777911339010188,1.2675102397299847
Maximum Sharpe Ratio Portfolio,3.183929534807784,0.33884651408884503,0.15154660062884454,1.8400050738965301,2.5958780081669754,-0.20430555033574715,1.6585281874721411,0.014464389167963507,0.02070954513557061,0.8639480900595671,0.09605119542636124,1.9893909929765408
Minimum Volatility Portfolio,0.9356732726628949,0.14414303610507684,0.10909402938220562,0.7712891033686712,1.157414778664917,-0.1791553427596787,0.8045701226919711,0.010914476648899154,0.014929524017091017,0.678829263649313,0.07182857581527943,0.40809740723428317
