Strategy,Historical Expected Annual Return,ML Expected Annual Return,Annual Risk,Sharpe Using Historical Return,Sharpe Using ML Return
Historical Mean Optimization,0.2611613931335059,0.13294725483863815,0.1485837782380421,1.3538583788819165,0.49095032919254006
ML Prediction Optimization,0.07791555096697249,0.3521140531786332,0.13930984891966147,0.12860218502788126,2.0968657668065687
Equal Weight Portfolio,0.13947122612345353,0.2191270300573435,0.1278870364082327,0.6214173723579819,1.2442780326020575
