Date,Equal Weight Portfolio,One Random Portfolio,Maximum Sharpe Ratio Portfolio,Minimum Volatility Portfolio
2021-05-07,0.007085741780573487,0.005749975692434054,0.011511274534125567,0.004367559039343335
2021-05-10,0.01283996900068861,0.012924473164779826,0.025234247226133374,0.009038181788739823
2021-05-11,0.0005083950747074245,-0.000893859565622668,0.01612104508905487,-0.0012402493735715686
2021-05-12,-0.01095118233849706,-0.010846931164862803,-0.0071275235214524725,-0.006897282346103191
2021-05-14,-0.004695750841614641,-0.007020613583199368,-0.01627825741757758,0.00664598922829393
2021-05-17,0.013308697254178698,0.013869550544676684,0.0016662629135208054,0.0031696950121284755
2021-05-18,0.013341676911893075,0.016044805727430795,0.010814004354452032,0.005970791422882908
2021-05-19,-0.0006316704408182365,-0.0008481788065971539,0.0032579844818779314,0.0010055634033344653
2021-05-20,-0.008600122925516986,-0.00692702608337077,-0.010172366379206307,-0.010019231066525938
2021-05-21,0.011090244224270712,0.011681460322846591,0.01114182522497203,0.01128493072710702
2021-05-24,0.0008922904025222511,-0.00011263114605601349,-0.0004913197540279595,0.0002862126095806397
2021-05-25,0.0051107416954057515,0.004525234140778871,0.002700520695570326,0.00625151239920855
2021-05-26,0.003851103722841728,0.005962726960044954,-0.0019686703035589775,0.0010342845826006222
2021-05-27,0.0038363506324617263,0.004238117253493601,-0.001748419931961593,0.000768055468896586
2021-05-28,0.00019962564272527883,-0.000796474267714233,-0.0020567899097993633,-0.005733506105904848
2021-05-31,0.00753398536147614,0.006660561943010584,0.0012329573743578425,0.011306901714109188
2021-06-01,0.0021250979530371855,0.003180902758717059,-5.497155725899988e-05,6.050392913131249e-05
2021-06-02,0.005431154309675748,0.0063393718125518,0.004517968668780104,-0.0006786763234010402
2021-06-03,0.008466396498797631,0.008269746480896938,0.005092093242958135,0.004406567767668623
2021-06-04,0.0030661660611023722,0.00422159903264313,0.0037589347567438982,-0.0035182754179588914
2021-06-07,0.005889168632102693,0.003388322917558701,0.01253309851262204,0.006244795022542952
2021-06-08,0.0016254683095815532,0.001848695638190798,0.005573646709066322,0.004336521342154903
2021-06-09,-0.005947711601419287,-0.006238505918367481,-0.0008680017688591142,-0.0018021682277819047
2021-06-10,0.007049486495087815,0.008335723173483823,0.003395758528924088,0.005661897031683688
2021-06-11,0.0032730162078281368,0.002393161464112652,0.007236456917579449,0.0014946069393121954
2021-06-14,-0.001629174263662501,-0.0014642697031988668,-0.005324780408332468,0.002163094598020497
2021-06-15,0.001536141773193794,0.0010591369968356709,-0.002747738068831148,0.0025816679945782958
2021-06-16,-0.007829543121729747,-0.00801497543656141,-0.0046505119106278366,-0.0015158112897694354
2021-06-17,-0.008803244919539297,-0.009255465586347286,-0.012182305111183248,-0.0043745549794834485
2021-06-18,-0.002474420163574232,-6.881410403408879e-06,-0.010553067016906234,-0.003102439035906372
2021-06-21,0.004914614364820823,0.004750349254429082,0.008467759008274829,0.002491253355606186
2021-06-22,0.005000992453406199,0.006127777087422834,0.00034536743610288846,0.0007794935605718432
2021-06-23,-0.0040328228262066935,-0.0029777022479861503,-0.0010926290376814477,-0.002734685726974839
2021-06-24,0.003987175204064445,0.004984116525188571,-0.0016880425217131296,0.005217361557294206
2021-06-25,0.006218749016549461,0.007923674378634612,0.004570883001023533,0.0025983301239246035
2021-06-28,0.0002280702899583546,0.0006245947921429979,-0.0030589302875558607,0.00044921040171880326
2021-06-29,-0.004005248129613452,-0.003360350080070124,-0.0059025499424702685,0.0005200524136786196
2021-06-30,-0.0030460498981811366,-0.002722490429493928,-0.0005391271505920303,-0.0038320969411470653
2021-07-01,-0.0004135094466981883,-5.226033776364349e-05,0.0020401105400459545,0.0017668682173078015
2021-07-02,-0.00014206612588609806,-0.00011040050271307679,0.002886948030686565,-0.001650940699508439
2021-07-05,0.005389920685052262,0.005207033999476339,0.006086219939701531,0.0027379260164202383
2021-07-06,-0.00042959814666546114,0.00011483346697617214,-0.006225723403922347,-0.002408743089303483
2021-07-07,0.003999192404909745,0.0034277882152345973,0.0012208496275692355,0.003333053914443148
2021-07-08,-0.007595437456991859,-0.006958486300379415,-0.006352974972218103,-0.010427640644818785
2021-07-09,0.0023343928663292378,0.0028083277057957498,0.0027350318166265274,-0.0008230304250389255
2021-07-12,0.0020682443732627565,0.0016317007039727785,-0.002994613308902679,-0.0004672757791988647
2021-07-13,0.0045112860633996655,0.004360684370708346,0.009443536973189922,0.005467182832370837
2021-07-14,0.002903412145326331,0.0034913360348602608,0.0022080479995562584,0.001393732337165261
2021-07-15,0.002990232027654953,0.0032555875281848876,-0.00478368912466917,-0.0012578278427171398
2021-07-16,-3.1494573933346127e-06,-0.0004018626031889326,0.00420237351549957,0.0029212455387886043
2021-07-19,-0.006103116889533203,-0.006645862042874047,-0.0017587681622698358,-0.004559628016335505
2021-07-20,-0.008503946249158489,-0.008002625002499025,-0.01605817489584336,-0.006488058044412564
2021-07-22,0.013859837362471091,0.01489176452551381,0.013708786762294053,0.005506180825824738
2021-07-23,0.001625632996695063,0.0013100808714995643,0.0014125248127843319,0.005099399319029121
2021-07-26,0.0012627640701255527,0.002473107812573731,0.00028978655670353347,0.00045534188657156606
