Portfolio,Annual Return,Annual Risk,Sharpe Ratio
Minimum Volatility Portfolio,0.14063942120285408,0.10909402938220565,0.7391735520221531
Maximum Sharpe Portfolio,0.3034735879505968,0.1515466006288455,1.606592209526961
