Ticker,Historical Mean Return,Implied Equilibrium Return,Black-Litterman Return,Market Weight
ADANIENT.NS,0.26244274516100635,0.2859900355276992,0.2788671901251968,0.02040816326530612
ADANIPORTS.NS,0.25264398299400465,0.262184813967403,0.2553910843845854,0.02040816326530612
APOLLOHOSP.NS,0.210180779249611,0.15593737572345515,0.15106855993742838,0.02040816326530612
ASIANPAINT.NS,0.03208064832406818,0.143350872915439,0.13990089856474774,0.02040816326530612
AXISBANK.NS,0.15108127836882584,0.17466857833314142,0.16831512825294073,0.02040816326530612
BAJAJ-AUTO.NS,0.25245659465659614,0.15885154712799537,0.1561802256403718,0.02040816326530612
BAJAJFINSV.NS,0.1402110252846983,0.20004574362358676,0.1927886836155362,0.02040816326530612
BAJFINANCE.NS,0.1606107302510174,0.20023924918374997,0.19376946227568975,0.02040816326530612
BHARTIARTL.NS,0.2749425177156218,0.14798038481257952,0.14232178906101553,0.02040816326530612
BPCL.NS,0.1846418945968704,0.19617798228830322,0.1923341794587456,0.02040816326530612
BRITANNIA.NS,0.13851708041862798,0.11862374965742363,0.11627766407435498,0.02040816326530612
CIPLA.NS,0.12181556718068999,0.11838290150892211,0.11609620069477236,0.02040816326530612
COALINDIA.NS,0.3824490025919697,0.18502929571154914,0.1811092582489119,0.02040816326530612
DIVISLAB.NS,0.14399472823051027,0.1496355972981584,0.14541268214981093,0.02040816326530612
DRREDDY.NS,0.07878459078201516,0.13035944492289817,0.12737604040383815,0.02040816326530612
EICHERMOT.NS,0.26762483043270624,0.18251695816624536,0.17805454828032447,0.02040816326530612
GRASIM.NS,0.17620961747770014,0.19162897262410317,0.18599380357377732,0.02040816326530612
HCLTECH.NS,0.12433760974071464,0.1562843705109932,0.14353465767147242,0.02040816326530612
HDFCBANK.NS,0.05893856697447572,0.15686025430781636,0.15834851843632738,0.02040816326530612
HEROMOTOCO.NS,0.18382097135250083,0.17408994037288028,0.1700500753339174,0.02040816326530612
HINDALCO.NS,0.2658073371325685,0.21883272188831152,0.21113493467726754,0.02040816326530612
HINDUNILVR.NS,0.03109068075058732,0.12111634652104436,0.11817738142222634,0.02040816326530612
ICICIBANK.NS,0.17944106391605852,0.1572081252107703,0.14658346966223212,0.02040816326530612
INDUSINDBK.NS,0.07122062939481129,0.2095279895152365,0.2043254334529126,0.02040816326530612
INFY.NS,0.024967122772844838,0.1570451300429011,0.13722928097537243,0.02040816326530612
IOC.NS,0.2782666166457491,0.19264912866072928,0.18893780625690035,0.02040816326530612
ITC.NS,0.15619910811570517,0.13273099277653194,0.12895685464529139,0.02040816326530612
JSWSTEEL.NS,0.16515497764953396,0.2153730171548351,0.20795251608436338,0.02040816326530612
KOTAKBANK.NS,0.03739706518855914,0.15766186278987965,0.1541513440789634,0.02040816326530612
LT.NS,0.2644751624050879,0.19311740119393958,0.18623557389510947,0.02040816326530612
M&M.NS,0.35177151778151605,0.19663629640125568,0.19034590724845946,0.02040816326530612
MARUTI.NS,0.18281307955409487,0.16259601931340326,0.15921804318358046,0.02040816326530612
NESTLEIND.NS,0.14553124676253248,0.12279189114537543,0.1204202606797248,0.02040816326530612
NTPC.NS,0.34351036264300994,0.17920285300793876,0.17547893936112058,0.02040816326530612
ONGC.NS,0.3021628086663739,0.17010451407643867,0.16490001650663197,0.02040816326530612
POWERGRID.NS,0.2805028655184434,0.1581924939441791,0.15541700048219512,0.02040816326530612
RELIANCE.NS,0.12629324703436526,0.17273723765858506,0.16630668297762394,0.02040816326530612
SBILIFE.NS,0.16099787030328147,0.1615508318089403,0.15674810690805394,0.02040816326530612
SBIN.NS,0.2770306891529837,0.1932244725309674,0.18698352284934305,0.02040816326530612
SHREECEM.NS,0.012492998637867679,0.1637025275773467,0.15888900449166948,0.02040816326530612
SUNPHARMA.NS,0.23565355848492406,0.13535143361256086,0.13123179755992098,0.02040816326530612
TATACONSUM.NS,0.14998640119311296,0.15636986628142657,0.15123048287367002,0.02040816326530612
TATASTEEL.NS,0.21808086487162318,0.23303428869344278,0.22574449247688813,0.02040816326530612
TCS.NS,-0.001481193438424756,0.14558058662549678,0.13418632212550427,0.02040816326530612
TECHM.NS,0.15506504476192465,0.17097991031162885,0.1566990822783672,0.02040816326530612
TITAN.NS,0.25708001365086713,0.17183538495574857,0.1667190325186146,0.02040816326530612
ULTRACEMCO.NS,0.16171657416485063,0.17986573118758414,0.17489995440623357,0.02040816326530612
UPL.NS,0.06054111187926369,0.19643315900250263,0.1904772531621174,0.02040816326530612
WIPRO.NS,-0.0029780056621003907,0.17428529924290329,0.1615577410953437,0.02040816326530612
