Strategy,Annual Return,Annual Risk,Sharpe Ratio
Equal Weight Portfolio,0.17323623636155602,0.13682767370018242,0.8275828514754984
One Random Portfolio,0.17209288970416112,0.13910434775206054,0.8058187361904415
Maximum Sharpe Ratio Portfolio,0.30347358795059476,0.15154660062884454,1.6065922095269576
Minimum Volatility Portfolio,0.14063942120285403,0.10909402938220562,0.7391735520221527
