Date,Optimized Turnover,Equal Weight Turnover,Optimization Success
2022-05-13,1.000000000000114,0.9999999999999999,True
2022-06-13,0.9631761184843781,0.0,True
2022-07-12,0.7555694602460848,0.0,True
2022-08-11,0.40880225327720354,0.0,True
2022-09-13,0.21826910288158546,0.0,True
2022-10-13,0.8410571005984531,0.0,True
2022-11-15,0.28518853445473824,0.0,True
2022-12-14,0.4124421300387284,0.0,True
2023-01-12,0.5436859470754378,0.0,True
2023-02-13,0.5199262296327096,0.0,True
2023-03-15,0.37684530447832015,0.0,True
2023-04-19,0.28042115435726356,0.0,True
2023-05-19,0.7841385822802558,0.0,True
2023-06-19,0.5871869667556935,0.0,True
2023-07-19,0.82101598723926,0.0,True
2023-08-18,0.644963366463433,0.0,True
2023-09-18,0.4596160924738123,0.0,True
2023-10-19,0.6584204617615471,0.0,True
2023-11-21,0.5128274118988694,0.0,True
2023-12-21,0.6458206432290947,0.0,True
2024-01-23,0.4902091332687766,0.0,True
2024-02-22,0.6641443368678699,0.0,True
2024-03-26,0.5126796294528402,0.0,True
2024-04-29,0.5375380861551883,0.0,True
2024-05-30,0.39594742497259555,0.0,True
2024-07-01,0.4157557571732614,0.0,True
2024-07-31,0.48093107541904145,0.0,True
2024-08-30,0.6285631892974595,0.0,True
2024-09-30,0.33910237250905095,0.0,True
2024-10-30,0.7406925618779359,0.0,True
2024-12-02,0.6525077069814229,0.0,True
2025-01-01,0.5051747340455739,0.0,True
2025-01-30,0.6307921027954441,0.0,True
2025-02-28,0.5743795234305262,0.0,True
2025-04-02,0.44397487306949524,0.0,True
2025-05-07,0.4559183557026847,0.0,True
2025-06-05,0.4397190276093329,0.0,True
2025-07-04,0.6318627302318484,0.0,True
2025-08-04,0.69395448544696,0.0,True
2025-09-04,0.990664949176093,0.0,True
2025-10-06,1.2063527277589405,0.0,True
2025-11-06,1.1087701457289463,0.0,True
2025-12-05,0.6630611789170336,0.0,True
2026-01-06,0.5613529372982679,0.0,True
2026-02-05,1.0720745149407434,0.0,True
2026-03-09,0.8139601558139956,0.0,True
2026-04-10,1.1457289726403979,0.0,True
