Date,Ticker,Return 5D,Return 10D,Return 20D,MA 50 Ratio,MA 100 Ratio,Volatility 20D,RSI 14D,Target 21D Return
2021-09-28,ASIANPAINT.NS,0.02130426405877861,0.005115265188321283,0.0871572077996352,0.07371418227375681,0.1157789971716352,0.014335596364892159,55.836147548751896,-0.07684704899542705
2021-09-28,AXISBANK.NS,-0.007732396299219735,-0.006545855009346235,0.006568477592507227,0.02901372875624042,0.047670913410898574,0.011693631318624394,50.6493353348561,-0.039090236476729046
2021-09-28,BAJAJFINSV.NS,-0.0020981845199202764,0.0427240314446824,0.05977815822296728,0.13221297891488937,0.2817944625782989,0.019598028534579034,60.76713338296604,0.024919761379136984
2021-09-28,BAJFINANCE.NS,-0.03462442767575391,0.016953088557610796,0.05272501582655975,0.10008647712336738,0.1860245211290179,0.018325296634012535,54.409384777803645,-0.007828264897763337
2021-09-28,BHARTIARTL.NS,-0.023986523608419463,0.021636714678501034,0.14307385568478437,0.12043099465120788,0.21348958794294304,0.022498503347108387,65.51401301425422,-0.009193366688513116
2021-09-28,CIPLA.NS,0.015584141146634423,0.018727309885027132,0.03883599813510519,0.04135271687833475,0.03699234114432315,0.012991363769806032,64.94174365739408,-0.08161683827074184
2021-09-28,DRREDDY.NS,-0.004223568161372149,-0.01979418105345987,0.03319893062190449,-0.0015724939395275195,-0.04828294640300912,0.009695902230047501,42.674878543175204,-0.05445719838136931
2021-09-28,HDFCBANK.NS,0.040658651466975115,0.04294346602185528,0.029842251071893644,0.0605855318536066,0.07650912216417316,0.010691247063144881,60.31533903541654,-0.01328143901457468
2021-09-28,HINDUNILVR.NS,-0.03150271917882097,-0.014008685050793779,0.013450202760198371,0.05718059267600428,0.09511635705806087,0.012208865565275236,42.408015868827995,-0.1173026617611298
2021-09-28,ICICIBANK.NS,0.0074454033658999386,0.013711202548775336,0.004904205627664693,0.024964408912770075,0.07375517890787742,0.010827337968057692,50.11963826593188,0.11371402605882452
2021-09-28,INFY.NS,-0.01824319944412145,0.0005633376993903205,-0.006448655990055729,0.005591476301290976,0.07934050319495922,0.012452623860230027,45.67191231816978,0.018908675289294186
2021-09-28,ITC.NS,-0.015527962925553918,0.10018490487931175,0.14302878063827373,0.10735907085845975,0.13541819715329173,0.017820274872636585,83.16326751594504,-0.053207069434696885
2021-09-28,KOTAKBANK.NS,0.02846911615190395,0.1073216977841378,0.19146235289426028,0.15213139335622605,0.16446401625854112,0.014981523248053576,91.31150433544632,0.014650484565552624
