Strategy,Total Return,Annual Return,Annual Volatility,Sharpe Ratio,Maximum Drawdown,Average Turnover,Number of Rebalances
Optimized Portfolio,0.8440464396638347,0.13311585657572733,0.15376872759419508,0.4754923690900563,-0.24134074669345063,0.627982670983164,47
Equal Weight Portfolio,0.9646777407381038,0.14787388779723654,0.11764306157558344,0.7469534252198905,-0.16673720907707168,0.021276595744680847,47
NIFTY 50 Benchmark,0.6523789485412512,0.10800324248725057,0.137534766421402,0.3490262406828119,-0.17229756084670045,,0
