Date,Optimized Portfolio,Equal Weight Portfolio,NIFTY 50 Benchmark
2021-05-07,0.0,0.0,0.006679247748155426
2021-05-10,0.0,0.0,0.008041422748121585
2021-05-11,0.0,0.0,-0.006130201191218876
2021-05-12,0.0,0.0,-0.0103866808073666
2021-05-14,0.0,0.0,-0.0012724250884564858
2021-05-17,0.0,0.0,0.01671576048197254
2021-05-18,0.0,0.0,0.012393443335275034
2021-05-19,0.0,0.0,-0.005159432408138875
2021-05-20,0.0,0.0,-0.00825677606093067
2021-05-21,0.0,0.0,0.01806313567497475
2021-05-24,0.0,0.0,0.001476108604989923
2021-05-25,0.0,0.0,0.0007073438653115716
2021-05-26,0.0,0.0,0.006115021504864648
2021-05-27,0.0,0.0,0.002378821196545866
2021-05-28,0.0,0.0,0.006376433707514062
2021-05-31,0.0,0.0,0.009533088035724946
2021-06-01,0.0,0.0,-0.0005101904286871628
2021-06-02,0.0,0.0,8.67158252806366e-05
2021-06-03,0.0,0.0,0.0073284506253876724
2021-06-04,0.0,0.0,-0.001281017305247989
2021-06-07,0.0,0.0,0.0051945814919991395
2021-06-08,0.0,0.0,-0.0007333060957773752
2021-06-09,0.0,0.0,-0.006654976944212576
2021-06-10,0.0,0.0,0.0065492869160790335
2021-06-11,0.0,0.0,0.003914130633349666
2021-06-14,0.0,0.0,0.0007911718082738162
2021-06-15,0.0,0.0,0.003630213545097627
2021-06-16,0.0,0.0,-0.006408632752808119
2021-06-17,0.0,0.0,-0.0048295020472909345
2021-06-18,0.0,0.0,-0.000513069646403852
2021-06-21,0.0,0.0,0.004026588209654625
2021-06-22,0.0,0.0,0.0016670371193598932
2021-06-23,0.0,0.0,-0.005439749231269109
2021-06-24,0.0,0.0,0.006597840798329813
2021-06-25,0.0,0.0,0.0044266891189239654
2021-06-28,0.0,0.0,-0.0028782098242977616
2021-06-29,0.0,0.0,-0.0041891404314852165
2021-06-30,0.0,0.0,-0.0017112919035373597
2021-07-01,0.0,0.0,-0.002639697229908089
2021-07-02,0.0,0.0,0.002691338986766656
2021-07-05,0.0,0.0,0.007133188273225066
2021-07-06,0.0,0.0,-0.0010167521731027085
2021-07-07,0.0,0.0,0.0038816171589777237
2021-07-08,0.0,0.0,-0.0095562557277451
