Strategy,Total Return,Annual Return,Annual Volatility,Sharpe Ratio
Factor Portfolio,0.7857128193132987,0.12579544375531285,0.12293798584919499,0.5351921401740102
Equal Weight Portfolio,0.9037039910664266,0.13947122352251903,0.12788703093461584,0.6214173786171475
Maximum Sharpe Portfolio,2.4082948650419302,0.26116869318545644,0.14858919844911223,1.3538581221592043
Minimum Volatility Portfolio,0.7041512659376759,0.11526208277173057,0.11453622396576305,0.4824856351842838
