Date,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BHARTIARTL.NS,BPCL.NS,BRITANNIA.NS,CIPLA.NS,COALINDIA.NS,DIVISLAB.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,IOC.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBILIFE.NS,SBIN.NS,SHREECEM.NS,SUNPHARMA.NS,TATACONSUM.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,ULTRACEMCO.NS,UPL.NS,WIPRO.NS
2021-05-06,1283.6319580078125,719.107421875,3303.950439453125,2439.87744140625,712.77392578125,3446.504638671875,1100.3194580078125,541.5809326171875,536.0357666015625,154.42279052734375,3238.817138671875,851.75732421875,88.80915832519531,3941.309326171875,1001.7047119140625,2329.397705078125,1406.30419921875,747.7285766601562,663.4492797851562,2453.251708984375,372.46832275390625,2197.85693359375,588.2435302734375,893.22802734375,1198.6441650390625,45.559696197509766,159.3842010498047,690.8436889648438,356.1620178222656,1271.488037109375,713.0171508789062,6389.56884765625,794.58740234375,85.88961791992188,80.69376373291016,93.65021514892578,875.5757446289062,960.4364013671875,328.0718688964844,27173.787109375,646.6532592773438,628.3104248046875,94.77400207519531,2735.203369140625,820.8375854492188,1422.2783203125,6232.42578125,601.3181762695312,236.6567840576172
2021-05-07,1295.75244140625,745.2682495117188,3268.11962890625,2442.3662109375,713.7697143554688,3381.39990234375,1129.30419921875,538.1525268554688,545.389404296875,157.678466796875,3247.44873046875,850.4088134765625,90.29370880126953,3908.376953125,1002.9158325195312,2304.513671875,1407.9554443359375,748.0551147460938,670.0083618164062,2409.042724609375,387.0891418457031,2217.3525390625,587.1795654296875,894.43505859375,1190.67724609375,46.592899322509766,161.4281463623047,716.54443359375,354.588623046875,1274.14501953125,732.0971069335938,6424.45556640625,796.6669311523438,87.55656433105469,81.57205963134766,93.28065490722656,875.9158935546875,991.0011596679688,330.563232421875,27275.484375,646.7009887695312,605.125244140625,101.78585052490234,2754.059814453125,823.355712890625,1424.34619140625,6306.81103515625,597.8983764648438,238.01954650878906
2021-05-10,1300.9400634765625,743.03564453125,3280.803466796875,2447.43896484375,712.2759399414062,3383.06103515625,1130.6561279296875,538.5149536132812,549.2747192382812,161.43226623535156,3202.929443359375,867.1204223632812,97.02366638183594,4015.274658203125,1032.5400390625,2333.21142578125,1403.050537109375,746.0552978515625,672.4236450195312,2388.41162109375,410.8780517578125,2237.307861328125,593.1278076171875,912.9766845703125,1179.2330322265625,48.78232955932617,161.58534240722656,718.1537475585938,360.36444091796875,1323.7747802734375,744.5467529296875,6482.8720703125,797.9002685546875,89.76526641845703,83.36526489257812,95.58496856689453,873.3992919921875,995.7072143554688,333.74664306640625,26756.181640625,664.5471801757812,609.1177368164062,104.71283721923828,2765.13671875,831.3712768554688,1432.8636474609375,6230.13916015625,640.8359985351562,242.96241760253906
2021-05-11,1300.3414306640625,740.317626953125,3216.148681640625,2446.76904296875,704.4088745117188,3392.37451171875,1116.79248046875,531.3837280273438,545.2935180664062,164.4744873046875,3207.24560546875,858.114501953125,102.73094177246094,3951.54345703125,1026.41552734375,2356.044921875,1408.48974609375,740.6267700195312,664.7042236328125,2390.137939453125,398.38043212890625,2208.984375,589.83935546875,916.308349609375,1171.398193359375,51.02095031738281,160.36685180664062,695.05615234375,349.62933349609375,1312.956787109375,740.3013916015625,6456.65966796875,801.8357543945312,93.93265533447266,86.43930053710938,97.12840270996094,876.5506591796875,991.6946411132812,336.4685974121094,26955.2109375,673.969970703125,617.2469482421875,106.22367095947266,2745.005859375,820.0820922851562,1413.2685546875,6315.27587890625,650.0980224609375,239.4746856689453
2021-05-12,1282.6842041015625,729.5911865234375,3155.49169921875,2446.72119140625,688.4255981445312,3388.832275390625,1106.30615234375,524.8892822265625,538.913818359375,159.84890747070312,3227.089111328125,865.531005859375,101.27937316894531,3939.75732421875,1027.4815673828125,2341.982421875,1371.775634765625,739.6472778320312,662.7861938476562,2391.65380859375,384.86944580078125,2141.715087890625,575.2348022460938,885.2125854492188,1168.1851806640625,50.57814407348633,159.77728271484375,670.1127319335938,342.3397521972656,1314.5699462890625,724.7512817382812,6534.19677734375,794.6016845703125,94.43273162841797,84.24354553222656,98.23709106445312,867.4820556640625,963.904052734375,339.28289794921875,26289.1484375,668.9730224609375,615.7557983398438,101.51036834716797,2714.238037109375,807.7437133789062,1432.666748046875,6216.2744140625,657.03271484375,234.48562622070312
2021-05-14,1217.3929443359375,712.0697631835938,3100.41162109375,2655.67138671875,682.1517944335938,3365.70263671875,1094.6873779296875,522.1416015625,537.61865234375,157.35824584960938,3285.165771484375,870.780517578125,96.85870361328125,3900.0830078125,1007.208984375,2302.65478515625,1327.728515625,743.1165771484375,656.7953491210938,2368.243408203125,369.4283447265625,2185.763916015625,577.7011108398438,860.2974243164062,1158.853759765625,49.71713638305664,166.85227966308594,669.3554077148438,339.909912109375,1343.22802734375,707.3886108398438,6456.419921875,818.663818359375,92.8491439819336,82.66992950439453,99.49790954589844,878.432373046875,969.3531494140625,332.5932312011719,26171.923828125,658.1224975585938,620.6622314453125,97.4599380493164,2682.503662109375,799.2244873046875,1433.5531005859375,6196.0849609375,706.0975952148438,230.2587890625
2021-05-17,1285.9761962890625,732.1150512695312,3111.665283203125,2663.568359375,706.3009033203125,3379.344482421875,1122.409912109375,531.9126586914062,527.3056640625,157.85635375976562,3290.607177734375,848.771484375,97.74943542480469,3922.102783203125,1017.5682373046875,2368.58251953125,1353.8070068359375,752.7490844726562,682.0847778320312,2403.947998046875,379.22381591796875,2185.212890625,603.1381225585938,923.647705078125,1170.2979736328125,50.184539794921875,167.12742614746094,676.2658081054688,347.3786926269531,1315.946044921875,718.8842163085938,6438.64111328125,809.8136596679688,92.97415161132812,83.62142944335938,99.30228424072266,888.884033203125,954.739501953125,353.4927062988281,26774.109375,654.02978515625,628.5028686523438,99.07408142089844,2698.546630859375,800.1896362304688,1445.812255859375,6355.8984375,732.1737060546875,230.88241577148438
2021-05-18,1323.4849853515625,753.1796264648438,3122.6708984375,2700.9462890625,708.6909790039062,3556.689208984375,1137.121826171875,557.2490844726562,514.5464477539062,159.56427001953125,3307.682861328125,851.8536987304688,96.6277847290039,3903.380859375,1010.8138427734375,2452.0048828125,1352.398681640625,760.4629516601562,699.3471069335938,2447.905029296875,388.0541687011719,2183.373291015625,612.4232177734375,941.1268920898438,1179.62890625,51.9311637878418,165.1228485107422,679.1529541015625,349.55963134765625,1344.9361572265625,761.003173828125,6528.015625,816.5938720703125,93.43257141113281,84.97547149658203,101.34571838378906,901.398681640625,959.4951171875,352.7084045410156,26917.58984375,657.5037231445312,628.2142944335938,101.58353424072266,2715.292724609375,814.7943115234375,1515.6756591796875,6473.28857421875,730.891357421875,234.6934814453125
2021-05-19,1291.562744140625,749.7820434570312,3188.01611328125,2695.250732421875,713.8195190429688,3581.830322265625,1118.9976806640625,551.6116943359375,506.7276916503906,158.8526153564453,3316.080078125,870.6842651367188,100.19070434570312,3918.6103515625,1015.1455078125,2445.187744140625,1349.7763671875,760.2997436523438,690.5857543945312,2454.683837890625,389.2122802734375,2170.038818359375,604.9275512695312,933.8358154296875,1176.9881591796875,52.74297332763672,163.31480407714844,668.1721801757812,344.6700134277344,1331.79345703125,748.6966552734375,6494.27783203125,829.3674926757812,93.30754089355469,84.0971908569336,101.62831115722656,905.5248413085938,969.0064086914062,354.6922607421875,26974.416015625,669.4964599609375,628.4066772460938,100.22766876220703,2709.3154296875,820.5858764648438,1497.8529052734375,6383.9697265625,743.003173828125,236.3565216064453
2021-05-20,1298.8450927734375,743.2783813476562,3178.39208984375,2674.432373046875,702.9649047851562,3560.18701171875,1120.2696533203125,547.4534912109375,499.4845886230469,161.82366943359375,3211.13916015625,890.18896484375,96.75975036621094,3919.72607421875,1014.8548583984375,2412.677001953125,1335.741455078125,754.5855102539062,678.556640625,2412.6640625,371.7445373535156,2155.69287109375,598.30224609375,942.0443115234375,1179.01318359375,51.51295852661133,162.72520446777344,657.427978515625,340.2186584472656,1337.771484375,766.2978515625,6457.80908203125,821.5725708007812,93.14085388183594,81.82823181152344,99.54141235351562,900.242431640625,960.1887817382812,354.83062744140625,26952.513671875,653.7442016601562,620.4216918945312,95.13125610351562,2689.974853515625,816.7667236328125,1507.896728515625,6396.27734375,729.0863647460938,234.78587341308594
